mac,hour_of_day,day_of_week,times_seen,lat,lon
80:CE:62:F6:6F:01,9,4,1,,
B8:E9:37:91:23:02,9,4,1,,
A0:B5:3C:3A:9B:82,9,4,1,,
76:FC:4C:82:CB:17,9,4,1,,
34:7E:5C:13:ED:ED,9,4,1,,
24:69:8E:B8:1A:79,9,4,1,,
56:F0:29:A5:CC:DD,9,4,1,,
96:1A:80:71:77:4A,9,4,1,,
2C:36:F8:4B:72:A4,9,4,1,,
52:54:4C:83:09:E0,9,4,1,,
E0:50:8B:66:BA:E8,9,4,1,,
32:E2:65:C9:0F:BA,9,4,1,,
3C:61:05:C1:5A:6B,9,4,1,,
E6:D6:4C:CC:13:47,9,4,1,,
50:02:91:0C:87:9F,9,4,1,,
48:3F:DA:90:ED:36,9,4,1,,
E0:CA:94:E7:96:4B,9,4,1,,
22:48:2C:C4:CC:6C,9,4,1,,
BE:54:44:BA:30:D4,9,4,1,,
E4:F7:5B:CC:29:E2,9,4,1,,
E4:F7:5B:CC:29:E0,9,4,1,,
CA:6E:8F:5B:E2:2E,9,4,1,,
78:C4:0E:84:D3:AF,9,4,1,,
70:3A:CB:94:15:4B,9,4,1,,
70:3A:CB:94:15:45,9,4,1,,
B4:E4:54:FC:9D:90,9,4,1,,
40:CA:63:9F:E8:2A,9,4,1,,
CA:89:F8:0B:BD:08,9,4,1,,
1A:87:61:F1:BA:70,9,4,1,,
CA:61:35:66:6E:BA,9,4,1,,
8A:2F:D1:F8:ED:CF,9,4,1,,
DE:C4:DF:48:C1:07,9,4,1,,
6A:C4:D4:E2:3A:0E,9,4,1,,
78:8A:20:6C:0C:EA,9,4,1,,
F4:92:BF:BA:D8:FE,9,4,1,,
56:FE:96:84:9B:93,9,4,1,,
B0:6E:BF:8E:B9:00,9,4,1,,
98:AF:65:55:D4:17,9,4,1,,
10:13:31:5D:DD:FE,9,4,1,,
3C:8D:20:44:AB:69,9,4,1,,
18:F1:45:ED:D2:17,9,4,1,,
6A:FF:7B:63:A4:EB,9,4,1,,
16:22:3B:08:8A:9C,9,4,1,,
FA:1A:2B:22:97:51,9,4,1,,
FE:96:B4:AA:AE:1D,9,4,1,,
34:5D:9E:26:6C:5D,9,4,1,,
4E:35:81:4E:5A:F2,9,4,1,,
2A:DE:F6:3C:36:EF,9,4,1,,
D0:16:7C:40:2D:4E,9,4,1,,
AA:8F:27:C6:E1:DD,9,4,1,,
10:2C:6B:21:72:42,9,4,1,,
B2:C2:14:5B:78:2F,9,4,1,,
A4:91:B1:2C:C8:8A,9,4,1,,
86:98:0B:78:F9:11,9,4,1,,
26:18:A2:F6:36:76,9,4,1,,
82:05:A6:53:59:BD,9,4,1,,
BE:88:C6:C9:72:50,9,4,1,,
BE:44:6C:99:65:3C,9,4,1,,
E2:42:B8:F3:19:5F,9,4,1,,
6E:19:BD:5B:D4:DF,9,4,1,,
86:B7:88:14:92:A2,9,4,1,,
0A:15:2B:83:2E:EE,9,4,1,,
7E:1B:34:38:C4:60,9,4,1,,
F6:A9:12:80:89:95,9,4,1,,
42:98:0A:BD:BB:18,9,4,1,,
00:0C:29:50:A7:3C,9,4,1,,
CA:7E:53:86:C0:2E,9,4,1,,
AA:4F:58:5B:37:A5,9,4,1,,
EC:8E:B5:70:E2:95,9,4,1,,
00:20:85:EA:51:C1,9,4,1,,
A4:14:37:0C:C1:1B,9,4,1,,
A0:BD:1D:08:BF:F8,9,4,1,,
