mac,hour_of_day,day_of_week,times_seen,lat,lon
52:6A:F6:63:0E:FC,2,4,1,115.897598,-32.00578
00:06:C6:5E:77:69,2,4,1,115.89728,-32.005523
0E:40:DF:94:0D:C0,2,4,1,,
28:7F:CF:08:5D:59,2,4,2,115.8969,-32.005575
BE:59:AC:6D:F7:C1,2,4,1,115.896932,-32.005147
4C:A6:4D:68:28:80,2,4,1,115.896943,-32.0052
3E:4D:04:F8:80:55,2,4,1,115.896778,-32.004993
04:56:E5:7C:01:55,2,4,1,115.896858,-32.005067
00:0E:8E:86:70:AC,2,4,1,,
36:6D:AA:B1:FA:AB,2,4,1,,
66:E3:02:EE:B9:A9,2,4,1,,
90:2B:D2:0C:C3:24,2,4,1,,
7A:8C:AA:D1:DE:E5,2,4,1,115.896932,-32.005165
4A:AE:E9:8D:67:16,2,4,1,115.89694,-32.005183
CA:62:12:B7:D9:17,2,4,1,115.896948,-32.005233
6C:94:66:D0:3F:EF,2,4,1,115.8969,-32.005575
3A:0B:00:5F:F1:25,2,4,1,115.896962,-32.005293
64:49:7D:7D:70:5D,2,4,1,,
62:A7:02:6D:24:FC,2,4,1,115.896962,-32.005322
6A:B8:73:EA:42:28,2,4,1,115.896962,-32.005322
DE:C7:3D:E8:34:00,2,4,1,115.896938,-32.00541
DA:A1:19:B3:3A:F1,2,4,1,,
3E:82:96:D3:5F:6E,2,4,1,115.8969,-32.005522
C8:94:02:40:B9:77,2,4,1,,
70:BC:10:68:23:15,2,4,1,,
F2:B3:AD:6A:AF:C4,2,4,1,115.896898,-32.00555
64:1C:AE:CF:BB:41,2,4,1,115.8969,-32.005575
70:BC:10:68:28:6A,2,4,1,,
9E:10:47:A8:96:64,2,4,1,115.89692,-32.005802
70:BC:10:6A:56:E0,2,4,1,115.896925,-32.005817
70:BC:10:6A:57:DC,2,4,1,115.896925,-32.005817
00:7C:2D:C3:D4:08,2,4,1,115.896932,-32.00583
B8:31:B5:9C:46:47,2,4,1,115.896958,-32.005868
70:BC:10:68:1C:A5,2,4,1,115.896958,-32.005868
70:4A:0E:CA:88:3A,2,4,1,115.896972,-32.005928
70:BC:10:68:20:A9,2,4,1,115.897008,-32.005975
9E:E7:BB:57:37:ED,2,4,1,115.897,-32.00597
62:17:59:40:EF:91,2,4,1,115.897017,-32.005992
70:BC:10:68:28:60,2,4,1,,
E8:5A:8B:60:C2:6B,2,4,1,,
00:00:0C:07:AC:02,3,4,15,,
3E:BA:25:E2:FD:90,2,4,2,115.897045,-32.006102
3E:BA:25:E2:FD:90,2,4,2,115.896993,-32.006875
B8:98:AD:55:FD:5C,2,4,2,115.897068,-32.006353
B8:98:AD:55:FD:5C,2,4,2,115.897093,-32.006755
B2:84:62:26:0E:C3,2,4,2,,
70:BC:10:68:26:6E,2,4,1,115.897025,-32.006168
3E:D8:D4:6F:9C:FC,2,4,1,,
70:BC:10:68:1E:1D,2,4,1,,
B8:31:B5:9C:3C:D0,2,4,1,,
16:82:74:AD:CD:BC,2,4,1,,
B2:F7:83:1A:44:C7,2,4,2,115.896875,-32.006923
A4:6B:B6:F2:BB:C4,2,4,1,,
00:0E:8E:BA:BD:22,2,4,1,115.897068,-32.006353
AA:7D:71:15:BE:26,2,4,1,,
2C:57:41:53:41:C4,2,4,1,,
EE:39:05:7C:19:1A,2,4,1,,
F4:BD:9E:9E:62:44,2,4,1,,
70:CA:97:48:48:B9,2,4,1,,
70:CA:97:C9:09:28,2,4,1,,
4C:FC:AA:6B:80:7D,2,4,1,115.896693,-32.006887
16:5C:F5:9B:C5:5D,3,4,2,,
70:A6:CC:0C:9B:A8,2,4,1,,
10:68:38:91:6B:C0,2,4,1,115.896485,-32.006847
06:EA:F1:CD:1D:E2,2,4,1,,
88:9C:AD:22:6A:60,2,4,1,,
88:9C:AD:22:6A:6F,2,4,1,115.896473,-32.006848
D2:AA:98:DD:E7:3E,2,4,1,115.896473,-32.006848
52:A3:BB:E7:71:2D,2,4,1,,
C4:23:60:AB:8D:21,3,4,4,,
58:6C:25:2E:0C:66,2,4,1,115.896418,-32.0069
10:B1:DF:6C:63:59,2,4,1,115.896413,-32.006917
88:9C:AD:22:55:80,2,4,1,,
88:9C:AD:22:55:8F,2,4,1,115.896413,-32.006917
22:6F:30:56:9A:E9,3,4,2,,
7A:86:D7:80:26:FD,2,4,1,,
46:0D:FC:A3:C0:D5,2,4,1,115.896345,-32.007002
00:93:37:10:79:94,3,4,9,,
D6:1D:54:DA:E3:4B,2,4,1,115.896345,-32.007002
70:A6:CC:09:F3:44,2,4,1,115.896325,-32.007012
80:38:FB:12:2F:FA,3,4,2,,
EE:2E:FD:42:C3:D7,2,4,1,115.896263,-32.00706
86:30:FB:3F:17:93,2,4,1,,
6C:94:66:D0:3F:40,3,4,2,115.896163,-32.00709
6C:94:66:D0:3F:40,3,4,2,115.896163,-32.00709
76:CF:03:85:19:0B,2,4,1,,
26:F6:49:58:AB:CD,2,4,1,115.89618,-32.007088
98:22:EF:DF:F9:7D,3,4,2,,
CC:15:31:C5:0B:3E,3,4,2,115.896163,-32.00709
CC:15:31:C5:0B:3E,3,4,2,115.896163,-32.00709
4E:07:A1:4B:2F:67,2,4,1,,
70:A6:CC:0E:43:31,2,4,1,115.89611,-32.00711
2A:4E:88:55:58:D6,2,4,1,115.896053,-32.007138
3E:CC:7B:AA:2E:B3,2,4,1,115.896053,-32.007138
96:4C:27:C7:60:20,2,4,1,115.896053,-32.007138
A6:D7:B4:7A:71:C0,2,4,1,115.895855,-32.007187
B2:63:2B:C1:15:01,2,4,1,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
38:B8:00:86:C2:6A,3,4,24,115.895908,-32.007215
5A:BB:3A:2D:F6:91,2,4,1,,
10:3D:1C:C8:8C:EB,2,4,1,,
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
38:B8:00:9B:81:C8,3,4,22,115.895828,-32.007195
